Year,Geography,Occupation,Value
2013,Western region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.05
2014,Western region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.61
2015,Western region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.69
2013,Western region,   Occupation in protective services,27.04
2014,Western region,   Occupation in protective services,27.72
2015,Western region,   Occupation in protective services,28.76
2013,Western region,   Childcare and home support workers,18.73
2014,Western region,   Childcare and home support workers,18.56
2015,Western region,   Childcare and home support workers,19.12
2013,Western region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.24
2014,Western region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.39
2015,Western region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.47
2013,Western region,"Trades, transport and equipment operators and related occupations",22.96
2014,Western region,"Trades, transport and equipment operators and related occupations",23.25
2015,Western region,"Trades, transport and equipment operators and related occupations",23.59
2013,Western region,   Contractors and supervisors in trades and transportation,28.78
2014,Western region,   Contractors and supervisors in trades and transportation,28.42
2015,Western region,   Contractors and supervisors in trades and transportation,30.02
2013,Western region,   Construction trades,24.53
2014,Western region,   Construction trades,24.45
2015,Western region,   Construction trades,24.5
2013,Western region,   Other trades occupations,24.67
2014,Western region,   Other trades occupations,25.07
2015,Western region,   Other trades occupations,25.61
2013,Western region,   Transport and equipment operators,20.5
2014,Western region,   Transport and equipment operators,20.84
2015,Western region,   Transport and equipment operators,20.89
2013,Western region,"   Trades helpers, construction, and transportation labourers and related occupations",18.77
2014,Western region,"   Trades helpers, construction, and transportation labourers and related occupations",19.36
2015,Western region,"   Trades helpers, construction, and transportation labourers and related occupations",19.46
2013,Western region,Occupations unique to primary industry,15.68
2014,Western region,Occupations unique to primary industry,15.88
2015,Western region,Occupations unique to primary industry,17.58
2013,Western region,"Occupations unique to processing, manufacturing and utilities",21.42
2014,Western region,"Occupations unique to processing, manufacturing and utilities",21.37
2015,Western region,"Occupations unique to processing, manufacturing and utilities",21.58
2013,Western region,"   Machine operators and assemblers in manufacturing, including supervisors",22.36
2014,Western region,"   Machine operators and assemblers in manufacturing, including supervisors",22.28
2015,Western region,"   Machine operators and assemblers in manufacturing, including supervisors",22.45
2013,Western region,"   Labourer in processing, manufacturing and utilities",17.09
2014,Western region,"   Labourer in processing, manufacturing and utilities",17.59
2015,Western region,"   Labourer in processing, manufacturing and utilities",17.26
2013,Western region,    Legislators And Senior Management,50.63
2014,Western region,    Legislators And Senior Management,44.74
2015,Western region,    Legislators And Senior Management,45.72
2013,Western region,    Administrative Services Managers,38.33
2014,Western region,    Administrative Services Managers,39.06
2015,Western region,    Administrative Services Managers,41.09
2013,Western region,"    Managers In Engineering, Architecture, Science And Information Systems",46.96
2014,Western region,"    Managers In Engineering, Architecture, Science And Information Systems",43.44
2015,Western region,"    Managers In Engineering, Architecture, Science And Information Systems",47.54
2013,Western region,"    Sales, Marketing And Advertising Managers",41.07
2014,Western region,"    Sales, Marketing And Advertising Managers",42.41
2015,Western region,"    Sales, Marketing And Advertising Managers",42.45
2013,Western region,    Facility Operation And Maintenance Managers,29.93
2014,Western region,    Facility Operation And Maintenance Managers,33.72
2015,Western region,    Facility Operation And Maintenance Managers,41.26
2013,Western region,    Managers In Retail Trade,25.43
2014,Western region,    Managers In Retail Trade,28.81
2015,Western region,    Managers In Retail Trade,29.08
2013,Western region,    Managers In Food Service And Accommodation,22.79
2014,Western region,    Managers In Food Service And Accommodation,22.93
2015,Western region,    Managers In Food Service And Accommodation,21.72
2013,Western region,    Managers In Financial And Business Services,39.2
2014,Western region,    Managers In Financial And Business Services,41.06
2015,Western region,    Managers In Financial And Business Services,41.54
2013,Western region,"    Managers In Health, Education, Social And Community Services",40.63
2014,Western region,"    Managers In Health, Education, Social And Community Services",41.58
2015,Western region,"    Managers In Health, Education, Social And Community Services",42.39
2013,Western region,    Managers In Public Administration,49.94
2014,Western region,    Managers In Public Administration,43.93
2013,Western region,    Managers In Construction And Transportation,34.75
2014,Western region,    Managers In Construction And Transportation,39.38
2015,Western region,    Managers In Construction And Transportation,40.22
2013,Western region,    Managers In Manufacturing And Utilities,42.75
2014,Western region,    Managers In Manufacturing And Utilities,44.13
2015,Western region,    Managers In Manufacturing And Utilities,44.82
2013,Western region,"    Auditors, Accountants And Investment Professionals",31.41
2014,Western region,"    Auditors, Accountants And Investment Professionals",34.57
2015,Western region,"    Auditors, Accountants And Investment Professionals",34.61
2013,Western region,    Human Resources And Business Service Professionals,31.77
2014,Western region,    Human Resources And Business Service Professionals,34.53
2015,Western region,    Human Resources And Business Service Professionals,31.13
2013,Western region,    Finance And Insurance Administrative Occupations,23.7
2014,Western region,    Finance And Insurance Administrative Occupations,23.69
2015,Western region,    Finance And Insurance Administrative Occupations,23.51
2013,Western region,"    Secretaries, Recorders And Transcriptionists",19.79
2014,Western region,"    Secretaries, Recorders And Transcriptionists",20.44
2015,Western region,"    Secretaries, Recorders And Transcriptionists",21.65
2013,Western region,    Administrative And Regulatory Occupations,23.53
2014,Western region,    Administrative And Regulatory Occupations,24.6
2015,Western region,    Administrative And Regulatory Occupations,24.63
2013,Western region,    Clerical Supervisors,23.35
2014,Western region,    Clerical Supervisors,24.04
2015,Western region,    Clerical Supervisors,24.74
2013,Western region,"    Clerical Occupations, General Office Skills",18.3
2014,Western region,"    Clerical Occupations, General Office Skills",17.73
2015,Western region,"    Clerical Occupations, General Office Skills",18.2
2013,Western region,    Office Equipment Operators,18.98
2014,Western region,    Office Equipment Operators,17.52
2015,Western region,    Office Equipment Operators,16.94
2013,Western region,    Finance And Insurance Clerks,20.01
2014,Western region,    Finance And Insurance Clerks,19.69
2015,Western region,    Finance And Insurance Clerks,19.81
2013,Western region,    Administrative Support Clerks,20.64
2014,Western region,    Administrative Support Clerks,20.89
2015,Western region,    Administrative Support Clerks,22.01
2013,Western region,"    Library, Correspondence And Related Information Clerks",16.52
2014,Western region,"    Library, Correspondence And Related Information Clerks",16.74
2015,Western region,"    Library, Correspondence And Related Information Clerks",17.13
2013,Western region,    Mail And Message Distribution Occupations,20
2014,Western region,    Mail And Message Distribution Occupations,20.28
2015,Western region,    Mail And Message Distribution Occupations,20.76
2013,Western region,"    Recording, Scheduling And Distributing Occupations",19.27
2014,Western region,"    Recording, Scheduling And Distributing Occupations",20.26
2015,Western region,"    Recording, Scheduling And Distributing Occupations",20.54
2014,Western region,    Physical Science Professionals,34.63
2015,Western region,    Physical Science Professionals,34.89
2013,Western region,    Life Science Professionals,34.52
2014,Western region,    Life Science Professionals,37.95
2013,Western region,"    Civil, Mechanical, Electrical And Chemical Engineers",36.71
2014,Western region,"    Civil, Mechanical, Electrical And Chemical Engineers",38.41
2015,Western region,"    Civil, Mechanical, Electrical And Chemical Engineers",41.33
2013,Western region,    Other Engineers,36.49
2014,Western region,    Other Engineers,38.22
2015,Western region,    Other Engineers,35.9
2013,Western region,"    Architects, Urban Planners And Land Surveyors",33.69
2014,Western region,"    Architects, Urban Planners And Land Surveyors",37.15
2015,Western region,"    Architects, Urban Planners And Land Surveyors",36.89
2013,Western region,"      Mathematicians, Statisticians and Actuaries",37.82
2013,Western region,   Computer and Information Systems Professionals,34.67
2014,Western region,   Computer and Information Systems Professionals,36.61
2015,Western region,   Computer and Information Systems Professionals,35.01
2013,Western region,    Technical Occupations In Physical Sciences,25.13
2014,Western region,    Technical Occupations In Physical Sciences,30.59
2015,Western region,    Technical Occupations In Physical Sciences,29.05
2013,Western region,    Technical Occupations In Life Sciences,24.53
2014,Western region,    Technical Occupations In Life Sciences,22.76
2015,Western region,    Technical Occupations In Life Sciences,26.73
2013,Western region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",27.49
2014,Western region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",29.76
2015,Western region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",30.68
2013,Western region,    Technical Occupations In Electronics And Electrical Engineering,28.7
2014,Western region,    Technical Occupations In Electronics And Electrical Engineering,27.11
2015,Western region,    Technical Occupations In Electronics And Electrical Engineering,27.38
2013,Western region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",26.45
2014,Western region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",26.46
2015,Western region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",26.84
2013,Western region,    Other Technical Inspectors And Regulatory Officers,32.3
2014,Western region,    Other Technical Inspectors And Regulatory Officers,35.41
2015,Western region,    Other Technical Inspectors And Regulatory Officers,32.41
2014,Western region,    Transportation Officers And Controllers,36.66
2015,Western region,    Transportation Officers And Controllers,40.78
2013,Western region,   Technical Occupations in Computer and Information Systems,27.43
2014,Western region,   Technical Occupations in Computer and Information Systems,27.1
2015,Western region,   Technical Occupations in Computer and Information Systems,27.09
2013,Western region,"    Physicians, Dentists And Veterinarians",34.12
2014,Western region,"    Physicians, Dentists And Veterinarians",35.9
2015,Western region,"    Physicians, Dentists And Veterinarians",38.94
2013,Western region,"    Pharmacists, Dietitians And Nutritionists",41.3
2014,Western region,"    Pharmacists, Dietitians And Nutritionists",40.03
2015,Western region,"    Pharmacists, Dietitians And Nutritionists",44.51
2013,Western region,    Therapy And Assessment Professionals,32.82
2014,Western region,    Therapy And Assessment Professionals,30.32
2015,Western region,    Therapy And Assessment Professionals,33.85
2013,Western region,    Nurse Supervisors And Registered Nurses,34.21
2014,Western region,    Nurse Supervisors And Registered Nurses,34.96
2015,Western region,    Nurse Supervisors And Registered Nurses,35.58
2013,Western region,    Medical Technologists And Technicians (Except Dental Health),29.7
2014,Western region,    Medical Technologists And Technicians (Except Dental Health),28.61
2015,Western region,    Medical Technologists And Technicians (Except Dental Health),29.76
2013,Western region,    Technical Occupations In Dental Health Care,32.51
2014,Western region,    Technical Occupations In Dental Health Care,33.45
2015,Western region,    Technical Occupations In Dental Health Care,34.78
2013,Western region,    Other Technical Occupations In Health Care (Except Dental),28.55
2014,Western region,    Other Technical Occupations In Health Care (Except Dental),27.76
2015,Western region,    Other Technical Occupations In Health Care (Except Dental),28.14
2013,Western region,    Assisting Occupations In Support Of Health Services,19.7
2014,Western region,    Assisting Occupations In Support Of Health Services,19.45
2015,Western region,    Assisting Occupations In Support Of Health Services,20.53
2013,Western region,"    Judges, Lawyers And Quebec Notaries",40.88
2015,Western region,"    Judges, Lawyers And Quebec Notaries",43.03
2013,Western region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",29.39
2014,Western region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",30.24
2015,Western region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",29.86
2013,Western region,"    Policy And Program Officers, Researchers And Consultants",32.57
2014,Western region,"    Policy And Program Officers, Researchers And Consultants",34.04
2015,Western region,"    Policy And Program Officers, Researchers And Consultants",32.29
2013,Western region,    University Professors And Assistants,33.16
2014,Western region,    University Professors And Assistants,34.64
2015,Western region,    University Professors And Assistants,33.56
2013,Western region,    College And Other Vocational Instructors,36.43
2014,Western region,    College And Other Vocational Instructors,39.7
2015,Western region,    College And Other Vocational Instructors,37.88
2013,Western region,    Secondary And Elementary School Teachers And Counsellors,38.62
2014,Western region,    Secondary And Elementary School Teachers And Counsellors,38.08
2015,Western region,    Secondary And Elementary School Teachers And Counsellors,39.53
2013,Western region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.37
2014,Western region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",21.37
2015,Western region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.27
2015,Western region,"    Librarians, Archivists, Conservators And Curators",32.98
2013,Western region,"    Writing, Translating And Public Relations Professionals",28.87
2014,Western region,"    Writing, Translating And Public Relations Professionals",28.13
2015,Western region,"    Writing, Translating And Public Relations Professionals",29.79
2013,Western region,    Creative And Performing Artists,24.06
2014,Western region,    Creative And Performing Artists,24.03
2015,Western region,    Creative And Performing Artists,29.05
2013,Western region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",22.65
2014,Western region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",20.12
2013,Western region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",19.32
2014,Western region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",20.88
2015,Western region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",23.59
2013,Western region,    Creative Designers And Craftspersons,22.31
2014,Western region,    Creative Designers And Craftspersons,19.02
2015,Western region,    Creative Designers And Craftspersons,22.12
2013,Western region,"    Athletes, Coaches, Referees And Related Occupations",15.05
2014,Western region,"    Athletes, Coaches, Referees And Related Occupations",16.05
2015,Western region,"    Athletes, Coaches, Referees And Related Occupations",15.93
2013,Western region,    Sales And Service Supervisors,16.29
2014,Western region,    Sales And Service Supervisors,17.73
2015,Western region,    Sales And Service Supervisors,17.66
2013,Western region,"    Sales Representatives, Wholesale Trade",27.23
2014,Western region,"    Sales Representatives, Wholesale Trade",27.04
2015,Western region,"    Sales Representatives, Wholesale Trade",27.07
2013,Western region,"    Technical Sales Specialists, Wholesale Trade",26.36
2014,Western region,"    Technical Sales Specialists, Wholesale Trade",29.55
2015,Western region,"    Technical Sales Specialists, Wholesale Trade",30.28
2013,Western region,    Insurance And Real Estate Sales Occupations And Buyers,23.16
2014,Western region,    Insurance And Real Estate Sales Occupations And Buyers,24.02
2015,Western region,    Insurance And Real Estate Sales Occupations And Buyers,23.42
2013,Western region,    Retail Salespersons And Sales Clerks,14.02
2014,Western region,    Retail Salespersons And Sales Clerks,14.08
2015,Western region,    Retail Salespersons And Sales Clerks,13.54
2013,Western region,    Cashiers,11.33
2014,Western region,    Cashiers,11.65
2015,Western region,    Cashiers,12.1
2013,Western region,    Chefs And Cooks,12.98
2014,Western region,    Chefs And Cooks,14.03
2015,Western region,    Chefs And Cooks,13.75
2013,Western region,    Occupations In Food And Beverage Service,12.94
2014,Western region,    Occupations In Food And Beverage Service,13.15
2015,Western region,    Occupations In Food And Beverage Service,13.3
2013,Western region,    Police Officers And Fire-Fighters,35.92
2014,Western region,    Police Officers And Fire-Fighters,37.04
2015,Western region,    Police Officers And Fire-Fighters,39.51
2013,Western region,    Other Occupations In Protective Service,28.55
2014,Western region,    Other Occupations In Protective Service,27.2
2015,Western region,    Other Occupations In Protective Service,25.58
2013,Western region,    Security Guards And Related Occupations,15.04
2014,Western region,    Security Guards And Related Occupations,16.07
2015,Western region,    Security Guards And Related Occupations,16.68
2013,Western region,    Occupations In Travel And Accommodation,17.61
2014,Western region,    Occupations In Travel And Accommodation,19.09
2015,Western region,    Occupations In Travel And Accommodation,18.9
2013,Western region,    Tour And Recreational Guides And Amusement Occupations,19.87
2014,Western region,    Tour And Recreational Guides And Amusement Occupations,21.13
2015,Western region,    Tour And Recreational Guides And Amusement Occupations,23.15
2013,Western region,"    Other Attendants In Travel, Accommodation And Recreation",16.26
2014,Western region,"    Other Attendants In Travel, Accommodation And Recreation",14.31
2015,Western region,"    Other Attendants In Travel, Accommodation And Recreation",13.12
2013,Western region,    Childcare And Home Support Workers,18.73
2014,Western region,    Childcare And Home Support Workers,18.56
2015,Western region,    Childcare And Home Support Workers,19.12
2013,Western region,    Technical Occupations In Personal Service,15.34
2014,Western region,    Technical Occupations In Personal Service,16.13
2015,Western region,    Technical Occupations In Personal Service,14.33
2013,Western region,    Other Occupations In Personal Service,13.68
2014,Western region,    Other Occupations In Personal Service,13.2
2015,Western region,    Other Occupations In Personal Service,15.25
2013,Western region,    Cleaners,16.66
2014,Western region,    Cleaners,16.75
2015,Western region,    Cleaners,16.5
2013,Western region,    Butchers And Bakers,12.91
2014,Western region,    Butchers And Bakers,12.44
2015,Western region,    Butchers And Bakers,13.6
2013,Western region,    Food Counter Attendants And Kitchen Helpers,11.65
2014,Western region,    Food Counter Attendants And Kitchen Helpers,12.13
2015,Western region,    Food Counter Attendants And Kitchen Helpers,12.4
2013,Western region,    Other Sales And Related Occupations,12.2
2014,Western region,    Other Sales And Related Occupations,12.49
2015,Western region,    Other Sales And Related Occupations,13.16
2013,Western region,    Other Elemental Service Occupations,13.76
2014,Western region,    Other Elemental Service Occupations,13.29
2015,Western region,    Other Elemental Service Occupations,14.01
2013,Western region,"    Contractors And Supervisors, Trades And Related Workers",29.02
2014,Western region,"    Contractors And Supervisors, Trades And Related Workers",28.68
2015,Western region,"    Contractors And Supervisors, Trades And Related Workers",30.47
2013,Western region,"    Plumbers, Pipefitters And Gas Fitters",31
2014,Western region,"    Plumbers, Pipefitters And Gas Fitters",27.24
2015,Western region,"    Plumbers, Pipefitters And Gas Fitters",27.91
2013,Western region,    Carpenters And Cabinetmakers,21.2
2014,Western region,    Carpenters And Cabinetmakers,22.77
2015,Western region,    Carpenters And Cabinetmakers,22.82
2013,Western region,    Masonry And Plastering Trades,26.72
2014,Western region,    Masonry And Plastering Trades,26.02
2015,Western region,    Masonry And Plastering Trades,24.63
2013,Western region,    Other Construction Trades,21.25
2014,Western region,    Other Construction Trades,21.54
2015,Western region,    Other Construction Trades,24.01
2013,Western region,    Electrical Trades And Telecommunications Occupations,27.85
2014,Western region,    Electrical Trades And Telecommunications Occupations,28.39
2015,Western region,    Electrical Trades And Telecommunications Occupations,29.21
2013,Western region,    Stationary Engineers And Power Station And System Operators,37.31
2014,Western region,    Stationary Engineers And Power Station And System Operators,38.39
2015,Western region,    Stationary Engineers And Power Station And System Operators,32.11
2013,Western region,    Machinists And Related Occupations,23.43
2014,Western region,    Machinists And Related Occupations,23.53
2015,Western region,    Machinists And Related Occupations,24.72
2013,Western region,"    Metal Forming, Shaping And Erecting Occupations",23.37
2014,Western region,"    Metal Forming, Shaping And Erecting Occupations",23.01
2015,Western region,"    Metal Forming, Shaping And Erecting Occupations",25.03
2013,Western region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.22
2014,Western region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.71
2015,Western region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),28.12
2013,Western region,    Motor Vehicle Mechanics,21.73
2014,Western region,    Motor Vehicle Mechanics,22.58
2015,Western region,    Motor Vehicle Mechanics,22.61
2013,Western region,    Other Mechanics,21.13
2014,Western region,    Other Mechanics,23.8
2015,Western region,    Other Mechanics,24.62
2014,Western region,"    Upholsterers, Tailors, Shoe Repairers, Jewellers And Related Occupations",16.48
2013,Western region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",20.87
2014,Western region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",20.59
2015,Western region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",22.14
2013,Western region,"    Other Installers, Repairers And Servicers",19.15
2014,Western region,"    Other Installers, Repairers And Servicers",19.11
2015,Western region,"    Other Installers, Repairers And Servicers",19.88
2013,Western region,    Heavy Equipment Operators,24.9
2014,Western region,    Heavy Equipment Operators,24.09
2015,Western region,    Heavy Equipment Operators,23.86
2013,Western region,"    Crane Operators, Drillers And Blasters",25.86
2014,Western region,"    Crane Operators, Drillers And Blasters",26.48
2015,Western region,"    Crane Operators, Drillers And Blasters",25.88
2013,Western region,    Motor Vehicle And Transit Drivers,19.34
2014,Western region,    Motor Vehicle And Transit Drivers,19.6
2015,Western region,    Motor Vehicle And Transit Drivers,19.48
2013,Western region,    Longshore Workers And Material Handlers,17.99
2014,Western region,    Longshore Workers And Material Handlers,18.58
2015,Western region,    Longshore Workers And Material Handlers,19
2013,Western region,    Trades Helpers And Labourers,19.51
2014,Western region,    Trades Helpers And Labourers,20.12
2015,Western region,    Trades Helpers And Labourers,20.02
2013,Western region,"    Public Works And Other Labourers, N.E.C.",21.06
2014,Western region,"    Public Works And Other Labourers, N.E.C.",20.44
2015,Western region,"    Public Works And Other Labourers, N.E.C.",19.29
2013,Western region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",17.84
2014,Western region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",18.55
2015,Western region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",21.49
2013,Western region,    Agriculture And Horticulture Workers,13.82
2014,Western region,    Agriculture And Horticulture Workers,15.11
2015,Western region,    Agriculture And Horticulture Workers,15.52
2013,Western region,    Primary Production Labourers,15.49
2014,Western region,    Primary Production Labourers,15.19
2015,Western region,    Primary Production Labourers,16.86
2013,Western region,"    Supervisors, Processing Occupations",27.36
2014,Western region,"    Supervisors, Processing Occupations",27.15
2015,Western region,"    Supervisors, Processing Occupations",28.7
2013,Western region,"    Supervisors, Assembly And Fabrication",28.58
2014,Western region,"    Supervisors, Assembly And Fabrication",28.36
2015,Western region,"    Supervisors, Assembly And Fabrication",28.77
2013,Western region,    Central Control And Process Operators In Manufacturing And Processing,28.9
2014,Western region,    Central Control And Process Operators In Manufacturing And Processing,33.57
2015,Western region,    Central Control And Process Operators In Manufacturing And Processing,32.45
2013,Western region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,23.35
2014,Western region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,24.31
2015,Western region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,24.59
2013,Western region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",20.32
2014,Western region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",22.55
2015,Western region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",21.72
2013,Western region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,21.64
2014,Western region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,18.31
2015,Western region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,17.66
2014,Western region,    Machine Operators And Related Workers In Textile Processing,15.63
2013,Western region,"    Machine Operators And Related Workers In Fabric, Fur And Leather ",13.67
2015,Western region,"    Machine Operators And Related Workers In Fabric, Fur And Leather ",16.22
2013,Western region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",17.99
2014,Western region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",18.32
2015,Western region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",19.06
2015,Western region,    Printing Machine Operators And Related Occupations,17.25
2013,Western region,"    Machining, Metalworking, Woodworking And Related Machine Operators",19.4
2014,Western region,"    Machining, Metalworking, Woodworking And Related Machine Operators",19.66
2015,Western region,"    Machining, Metalworking, Woodworking And Related Machine Operators",19.74
2013,Western region,"    Mechanical, Electrical And Electronics Assemblers",25.19
2014,Western region,"    Mechanical, Electrical And Electronics Assemblers",25.05
2015,Western region,"    Mechanical, Electrical And Electronics Assemblers",25.88
2013,Western region,    Other Assembly And Related Occupations,18.65
2014,Western region,    Other Assembly And Related Occupations,18.14
2015,Western region,    Other Assembly And Related Occupations,18.51
2013,Western region,"    Labourers In Processing, Manufacturing And Utilities",17.09
2014,Western region,"    Labourers In Processing, Manufacturing And Utilities",17.59
2015,Western region,"    Labourers In Processing, Manufacturing And Utilities",17.26
2013,Northern region,Management occupations,36.46
2014,Northern region,Management occupations,39.95
2015,Northern region,Management occupations,37.31
2013,Northern region,   Other management occupations,35.67
2014,Northern region,   Other management occupations,38.9
2015,Northern region,   Other management occupations,36.84
2013,Northern region,"Business, finance and administrative occupations",22.11
2014,Northern region,"Business, finance and administrative occupations",23.13
2015,Northern region,"Business, finance and administrative occupations",22.64
2013,Northern region,   Professional occupations in business and finance,34.74
2014,Northern region,   Professional occupations in business and finance,35.09
2015,Northern region,   Professional occupations in business and finance,34.18
2013,Northern region,"   Financial, secretarial and administrative occupations",22.11
2014,Northern region,"   Financial, secretarial and administrative occupations",24.05
2015,Northern region,"   Financial, secretarial and administrative occupations",23.69
2013,Northern region,"   Clerical occupations, including supervisors",20.42
2014,Northern region,"   Clerical occupations, including supervisors",20.59
2015,Northern region,"   Clerical occupations, including supervisors",20.36
2013,Northern region,Natural and applied sciences and related occupations,31.09
2014,Northern region,Natural and applied sciences and related occupations,31.8
2015,Northern region,Natural and applied sciences and related occupations,33.34
2013,Northern region,Health occupations,29.48
2014,Northern region,Health occupations,29.5
2015,Northern region,Health occupations,29.82
2013,Northern region,"   Professional occupations in health, nurse supervisors and registered nurses",36.51
2014,Northern region,"   Professional occupations in health, nurse supervisors and registered nurses",35.64
2015,Northern region,"   Professional occupations in health, nurse supervisors and registered nurses",36.39
2013,Northern region,"   Technical, assisting and related occupations in health",24.49
2014,Northern region,"   Technical, assisting and related occupations in health",24.29
2015,Northern region,"   Technical, assisting and related occupations in health",24.96
2013,Northern region,"Occupations in social science, education, government service and religion",31.71
2014,Northern region,"Occupations in social science, education, government service and religion",31.29
2015,Northern region,"Occupations in social science, education, government service and religion",32.24
2013,Northern region,"   Occupations in social science, government service and religion",25.47
2014,Northern region,"   Occupations in social science, government service and religion",26.2
2015,Northern region,"   Occupations in social science, government service and religion",28.04
2013,Northern region,   Teachers and professors,38.89
2014,Northern region,   Teachers and professors,37.67
2015,Northern region,   Teachers and professors,37.65
2013,Northern region,"Occupations in art, culture, recreation and sport",22.65
2014,Northern region,"Occupations in art, culture, recreation and sport",22.61
2015,Northern region,"Occupations in art, culture, recreation and sport",21.38
2013,Northern region,Sales and service occupations,15.58
2014,Northern region,Sales and service occupations,16.1
2015,Northern region,Sales and service occupations,16.67
2013,Northern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",24.27
2014,Northern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",24.76
2015,Northern region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",25.84
2013,Northern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.21
2014,Northern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.5
2015,Northern region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",14.38
2013,Northern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",12.79
2014,Northern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.1
2015,Northern region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.42
2013,Northern region,   Occupation in protective services,30
2014,Northern region,   Occupation in protective services,28.84
2015,Northern region,   Occupation in protective services,28.56
2013,Northern region,   Childcare and home support workers,18.7
2014,Northern region,   Childcare and home support workers,19.57
2015,Northern region,   Childcare and home support workers,17.88
2013,Northern region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",13.92
2014,Northern region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.88
2015,Northern region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.95
2013,Northern region,"Trades, transport and equipment operators and related occupations",23.99
2014,Northern region,"Trades, transport and equipment operators and related occupations",24.88
2015,Northern region,"Trades, transport and equipment operators and related occupations",25.64
2013,Northern region,   Contractors and supervisors in trades and transportation,31.65
2014,Northern region,   Contractors and supervisors in trades and transportation,30.09
2015,Northern region,   Contractors and supervisors in trades and transportation,30.52
2013,Northern region,   Construction trades,22.95
2014,Northern region,   Construction trades,25.07
2015,Northern region,   Construction trades,24.77
2013,Northern region,   Other trades occupations,26.18
2014,Northern region,   Other trades occupations,27.39
2015,Northern region,   Other trades occupations,28.2
2013,Northern region,   Transport and equipment operators,21.63
2014,Northern region,   Transport and equipment operators,21
2015,Northern region,   Transport and equipment operators,22.99
2013,Northern region,"   Trades helpers, construction, and transportation labourers and related occupations",17.94
2014,Northern region,"   Trades helpers, construction, and transportation labourers and related occupations",19.28
