Year,Geography,Occupation,Value
2014,Eastern region,"    Physicians, Dentists And Veterinarians",33.11
2015,Eastern region,"    Physicians, Dentists And Veterinarians",33.36
2013,Eastern region,"    Pharmacists, Dietitians And Nutritionists",36.35
2014,Eastern region,"    Pharmacists, Dietitians And Nutritionists",47.76
2015,Eastern region,"    Pharmacists, Dietitians And Nutritionists",54.54
2013,Eastern region,    Therapy And Assessment Professionals,35.25
2014,Eastern region,    Therapy And Assessment Professionals,32.22
2015,Eastern region,    Therapy And Assessment Professionals,38.09
2013,Eastern region,    Nurse Supervisors And Registered Nurses,34.12
2014,Eastern region,    Nurse Supervisors And Registered Nurses,35.6
2015,Eastern region,    Nurse Supervisors And Registered Nurses,35.39
2013,Eastern region,    Medical Technologists And Technicians (Except Dental Health),26.06
2014,Eastern region,    Medical Technologists And Technicians (Except Dental Health),29.44
2015,Eastern region,    Medical Technologists And Technicians (Except Dental Health),31.31
2013,Eastern region,    Technical Occupations In Dental Health Care,36.1
2014,Eastern region,    Technical Occupations In Dental Health Care,33.67
2015,Eastern region,    Technical Occupations In Dental Health Care,31.72
2013,Eastern region,    Other Technical Occupations In Health Care (Except Dental),27.85
2014,Eastern region,    Other Technical Occupations In Health Care (Except Dental),26.9
2015,Eastern region,    Other Technical Occupations In Health Care (Except Dental),31.52
2013,Eastern region,    Assisting Occupations In Support Of Health Services,19.85
2014,Eastern region,    Assisting Occupations In Support Of Health Services,20.29
2015,Eastern region,    Assisting Occupations In Support Of Health Services,20.57
2013,Eastern region,"    Judges, Lawyers And Quebec Notaries",46.19
2014,Eastern region,"    Judges, Lawyers And Quebec Notaries",45.16
2015,Eastern region,"    Judges, Lawyers And Quebec Notaries",52.27
2013,Eastern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",30.04
2014,Eastern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",32.23
2015,Eastern region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",28.73
2013,Eastern region,"    Policy And Program Officers, Researchers And Consultants",39.52
2014,Eastern region,"    Policy And Program Officers, Researchers And Consultants",39.44
2015,Eastern region,"    Policy And Program Officers, Researchers And Consultants",38.59
2013,Eastern region,    University Professors And Assistants,37.98
2014,Eastern region,    University Professors And Assistants,34.83
2015,Eastern region,    University Professors And Assistants,34.34
2013,Eastern region,    College And Other Vocational Instructors,35.18
2014,Eastern region,    College And Other Vocational Instructors,33.56
2015,Eastern region,    College And Other Vocational Instructors,36.85
2013,Eastern region,    Secondary And Elementary School Teachers And Counsellors,37.69
2014,Eastern region,    Secondary And Elementary School Teachers And Counsellors,37.31
2015,Eastern region,    Secondary And Elementary School Teachers And Counsellors,38.18
2013,Eastern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.87
2014,Eastern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.38
2015,Eastern region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.88
2013,Eastern region,"    Writing, Translating And Public Relations Professionals",33.26
2014,Eastern region,"    Writing, Translating And Public Relations Professionals",31.31
2015,Eastern region,"    Writing, Translating And Public Relations Professionals",34.37
2014,Eastern region,    Creative And Performing Artists,22.75
